Date,Course_Name,Hole,Par,Distance,Score_Label,Shot_Type,Fairway,C1R,C2R,OB
2026-04-29,RM South,1,3,323,PAR,BH,YES,YES,YES,NO
2026-04-29,RM South,2,3,276,BIRDIE,BH,YES,YES,YES,NO
2026-04-29,RM South,3,3,328,BIRDIE,FH,YES,YES,YES,NO
2026-04-29,RM South,4,3,333,BIRDIE,BH,YES,YES,YES,NO
2026-04-29,RM South,5,3,235,PAR,FH,YES,YES,YES,NO
2026-04-29,RM South,6,4,604,PAR,FH,NO,NO,NO,YES
2026-04-29,RM South,7,5,951,PAR,BH,YES,NO,YES,NO
2026-04-29,RM South,8,3,249,PAR,BH,YES,YES,YES,NO
2026-04-29,RM South,9,3,371,BOGEY,BH,NO,NO,NO,YES
2026-04-29,RM South,10,3,360,BIRDIE,BH,YES,YES,YES,NO
2026-04-29,RM South,11,3,346,BIRDIE,BH,YES,YES,YES,NO
2026-04-29,RM South,12,3,418,BIRDIE,BH,YES,YES,YES,NO
2026-04-29,RM South,13,3,381,BIRDIE,BH,YES,YES,YES,NO
2026-04-29,RM South,14,3,256,BIRDIE,BH,YES,NO,YES,NO
2026-04-29,RM South,15,3,366,PAR,BH,YES,NO,YES,NO
2026-04-29,RM South,16,4,504,BIRDIE,BH,YES,YES,YES,NO
2026-04-29,RM South,17,3,397,PAR,FH,YES,NO,YES,NO
2026-04-29,RM South,18,3,381,BIRDIE,BH,YES,YES,YES,NO
2026-05-02,Sweetwater,1,3,387,BIRDIE,BH,YES,YES,YES,NO
2026-05-02,Sweetwater,2,3,207,PAR,FH,YES,YES,YES,NO
2026-05-02,Sweetwater,3,3,399,PAR,FH,YES,NO,YES,NO
2026-05-02,Sweetwater,4,3,490,PAR,BH,YES,YES,YES,NO
2026-05-02,Sweetwater,5,3,217,BIRDIE,BH,YES,YES,YES,NO
2026-05-02,Sweetwater,6,3,264,BIRDIE,BH,YES,YES,YES,NO
2026-05-02,Sweetwater,7,3,393,PAR,BH,NO,NO,NO,NO
2026-05-02,Sweetwater,8,3,341,BOGEY,FH,YES,YES,YES,NO
2026-05-02,Sweetwater,9,3,524,PAR,BH,YES,NO,YES,NO
2026-05-02,Sweetwater,10,3,325,PAR,FH,YES,NO,YES,NO
2026-05-02,Sweetwater,11,3,226,PAR,FH,YES,YES,YES,NO
2026-05-02,Sweetwater,12,3,370,BIRDIE,BH,YES,YES,YES,NO
2026-05-02,Sweetwater,13,3,306,BIRDIE,BH,YES,YES,YES,NO
2026-05-02,Sweetwater,14,3,335,PAR,BH,YES,NO,YES,NO
2026-05-02,Sweetwater,15,3,354,BIRDIE,BH,YES,YES,YES,NO
2026-05-02,Sweetwater,16,4,674,BOGEY,BH,YES,NO,NO,YES
2026-05-02,Sweetwater,17,3,528,BIRDIE,BH,YES,NO,YES,NO
2026-05-02,Sweetwater,18,3,380,BIRDIE,FH,YES,YES,YES,NO
2026-05-11,McPherson,1,3,346,PAR,BH,YES,NO,YES,NO
2026-05-11,McPherson,2,3,251,PAR,FH,YES,YES,YES,NO
2026-05-11,McPherson,3,3,311,PAR,BH,YES,NO,YES,NO
2026-05-11,McPherson,4,3,172,BIRDIE,BH,YES,NO,YES,NO
2026-05-11,McPherson,5,3,222,PAR,FH,YES,YES,YES,NO
2026-05-11,McPherson,6,3,309,BIRDIE,FH,YES,YES,YES,NO
2026-05-11,McPherson,7,3,253,BIRDIE,BH,YES,YES,YES,NO
2026-05-11,McPherson,8,3,239,BIRDIE,BH,YES,YES,YES,NO
2026-05-11,McPherson,9,4,531,BIRDIE,FH,YES,YES,YES,NO
2026-05-11,McPherson,10,3,473,BOGEY,BH,NO,NO,NO,NO
2026-05-11,McPherson,11,3,311,PAR,BH,YES,NO,YES,NO
2026-05-11,McPherson,12,3,390,PAR,FH,NO,NO,NO,NO
2026-05-11,McPherson,13,3,343,PAR,BH,YES,NO,YES,NO
2026-05-11,McPherson,14,3,301,BIRDIE,BH,YES,YES,YES,NO
2026-05-11,McPherson,15,3,316,PAR,BH,YES,NO,YES,NO
2026-05-11,McPherson,16,3,243,PAR,BH,YES,YES,YES,NO
2026-05-11,McPherson,17,3,303,PAR,FH,NO,NO,NO,NO
2026-05-11,McPherson,18,3,271,BIRDIE,BH,YES,YES,YES,NO
2026-05-11,Little America,1,4,653,PAR,BH,NO,NO,NO,NO
2026-05-11,Little America,2,3,437,PAR,BH,YES,YES,YES,NO
2026-05-11,Little America,3,3,375,PAR,BH,NO,NO,NO,NO
2026-05-11,Little America,4,4,643,PAR,BH,YES,NO,YES,NO
2026-05-11,Little America,5,3,364,PAR,FH,NO,NO,NO,NO
2026-05-11,Little America,6,5,846,BIRDIE,BH,YES,YES,YES,NO
2026-05-11,Little America,7,3,374,BIRDIE,FH,YES,YES,YES,NO
2026-05-11,Little America,8,4,648,BIRDIE,BH,YES,YES,YES,NO
2026-05-11,Little America,9,4,570,BIRDIE,BH,YES,YES,YES,NO
2026-05-11,Little America,10,3,330,BIRDIE,FH,YES,YES,YES,NO
2026-05-11,Little America,11,4,623,BIRDIE,BH,YES,YES,YES,NO
2026-05-11,Little America,12,3,377,BIRDIE,BH,YES,YES,YES,NO
2026-05-11,Little America,13,4,638,BIRDIE,BH,YES,YES,YES,NO
2026-05-11,Little America,14,3,348,PAR,FH,NO,NO,NO,NO
2026-05-11,Little America,15,3,392,PAR,FH,YES,NO,YES,NO
2026-05-11,Little America,16,4,846,PAR,BH,YES,YES,YES,NO
2026-05-11,Little America,17,3,304,PAR,FH,NO,NO,NO,NO
2026-05-11,Little America,18,5,1093,BIRDIE,BH,YES,YES,YES,NO
2026-05-14,Bunker,1,3,343,PAR,BH,YES,NO,YES,NO
2026-05-14,Bunker,2,3,340,PAR,BH,YES,NO,YES,NO
2026-05-14,Bunker,3,3,266,BIRDIE,FH,YES,YES,YES,NO
2026-05-14,Bunker,4,3,260,PAR,FH,NO,NO,NO,NO
2026-05-14,Bunker,5,3,314,BOGEY,BH,NO,NO,NO,NO
2026-05-14,Bunker,6,3,320,PAR,FH,YES,NO,YES,NO
2026-05-14,Bunker,7,3,250,BIRDIE,BH,YES,YES,YES,NO
2026-05-14,Bunker,8,3,260,BIRDIE,BH,YES,YES,YES,NO
2026-05-14,Bunker,9,4,705,PAR,BH,YES,NO,YES,NO
2026-05-14,Bunker,10,3,365,PAR,BH,NO,NO,NO,NO
2026-05-14,Bunker,11,3,330,PAR,FH,NO,NO,NO,NO
2026-05-14,Bunker,12,3,221,BIRDIE,BH,YES,NO,YES,NO
2026-05-14,Bunker,13,4,400,BIRDIE,BH,YES,YES,YES,NO
2026-05-14,Bunker,14,4,381,BIRDIE,BH,YES,YES,YES,NO
2026-05-14,Bunker,15,4,470,BIRDIE,BH,YES,YES,YES,NO
2026-05-14,Bunker,16,3,320,BOGEY,FH,NO,NO,NO,NO
2026-05-14,Bunker,17,3,310,BIRDIE,FH,YES,YES,YES,NO
2026-05-14,Bunker,18,4,493,PAR,BH,YES,NO,YES,NO
2026-05-15,Bassett Creek,1,3,224,BIRDIE,BH,YES,YES,YES,NO
2026-05-15,Bassett Creek,2,3,361,BIRDIE,BH,YES,NO,YES,NO
2026-05-15,Bassett Creek,3,3,248,BIRDIE,FH,YES,YES,YES,NO
2026-05-15,Bassett Creek,4,3,258,PAR,BH,YES,NO,YES,NO
2026-05-15,Bassett Creek,5,3,298,BIRDIE,BH,YES,YES,YES,NO
2026-05-15,Bassett Creek,6,3,259,BIRDIE,BH,YES,NO,YES,NO
2026-05-15,Bassett Creek,7,3,320,BIRDIE,FH,YES,YES,YES,NO
2026-05-15,Bassett Creek,8,3,261,PAR,BH,YES,NO,YES,NO
2026-05-15,Bassett Creek,9,3,371,PAR,BH,YES,NO,YES,NO
2026-05-15,Bassett Creek,10,3,379,PAR,FH,NO,NO,NO,NO
2026-05-15,Bassett Creek,11,3,416,PAR,BH,NO,NO,NO,NO
2026-05-15,Bassett Creek,12,3,234,BIRDIE,FH,YES,NO,YES,NO
2026-05-15,Bassett Creek,13,3,318,BIRDIE,FH,YES,NO,YES,NO
2026-05-15,Bassett Creek,14,3,251,BIRDIE,BH,YES,YES,YES,NO
2026-05-15,Bassett Creek,15,3,259,BIRDIE,BH,YES,YES,YES,NO
2026-05-15,Bassett Creek,16,3,222,PAR,BH,YES,YES,YES,NO
2026-05-15,Bassett Creek,17,3,218,PAR,BH,YES,NO,YES,NO
2026-05-15,Bassett Creek,18,3,409,PAR,BH,NO,NO,NO,NO
2026-05-16,Oakwood Park,1,3,240,PAR,FH,NO,NO,NO,YES
2026-05-16,Oakwood Park,2,3,250,BIRDIE,BH,YES,YES,YES,NO
2026-05-16,Oakwood Park,3,3,375,PAR,BH,YES,NO,YES,NO
2026-05-16,Oakwood Park,4,4,510,BIRDIE,BH,YES,YES,YES,NO
2026-05-16,Oakwood Park,5,3,275,PAR,BH,YES,YES,YES,NO
2026-05-16,Oakwood Park,6,3,285,PAR,FH,YES,NO,YES,NO
2026-05-16,Oakwood Park,7,3,275,BIRDIE,FH,YES,YES,YES,NO
2026-05-16,Oakwood Park,8,4,490,BIRDIE,BH,YES,YES,YES,NO
2026-05-16,Oakwood Park,9,3,300,BIRDIE,FH,YES,YES,YES,NO
2026-05-16,Oakwood Park,10,3,270,BIRDIE,FH,YES,YES,YES,NO
2026-05-16,Oakwood Park,11,3,375,PAR,BH,NO,NO,NO,NO
