Date,Course_Name,Layout,Holes,Course_Par,Score_vs_Par,Fairway_Pct,Scramble_Pct,C1R_Pct,C2R_Pct,C1X_Pct,C2_Pct,OB_Pct,Conditions,Notes
2026-04-29,RM South,Pro Long,18,58,-9,0.889,0.667,0.667,0.889,0.5,0.2,0.111,Perfect,
2026-05-02,Sweetwater,Normal,18,55,-6,0.944,0,0.611,0.889,0.583,0.167,0.056,Slight wind,
2026-05-11,McPherson,Old Baskets,18,55,-6,0.833,0,0.5,0.833,0.429,0.167,0,Slight wind,
2026-05-11,Little America,Gold,18,65,-9,0.722,1,0.611,0.722,0.714,0,0,Pretty windy,
2026-05-14,Bunker,Blue,18,59,-6,0.722,0,0.389,0.722,0.75,0.143,0,Very windy,
2026-05-15,Bassett Creek,Main,18,54,-10,0.833,1,0.389,0.833,0.857,0.5,0,Slight wind,early morning
2026-05-16,Oakwood Park,Longs,18,60,-10,0.833,1,0.667,0.833,0.8,0,0.056,Slight wind,Lost Yellow Boss
2026-05-17,Oakwood Park,26 Spring Open,20,67,-9,0.55,0.833,0.45,0.65,0.889,0.5,0.05,Pretty windy,
2026-05-17,Oakwood Park,26 Spring Open,20,67,-15,0.9,1,0.85,0.9,0.727,0,0,Pretty windy,
2026-05-18,Bunker,Blue,18,59,-4,0.667,0.5,0.444,0.722,0.778,0.143,0,Perfect,
2026-05-19,Bethel,Main,18,58,2,0.667,0.5,0.333,0.611,0.625,0,0,Pretty windy,
2026-05-21,Ham Lake,"Longs, Front 9",9,28,-6,1,0,0.778,1,0.667,0.5,0,Perfect,W / Ethan and Isaac
2026-05-22,Bryant Lake,Long to Blue,18,59,-10,1,0,0.722,1,0.667,0,0,Slight rain,early morning
2026-05-24,Ham Lake,Longs,18,56,-12,0.944,1,0.833,1,0.7,0,0,Slight wind,
2026-05-24,Ham Lake,Longs,18,56,-8,0.889,0.5,0.556,0.889,0.714,0.125,0,Slight wind,
2026-05-26,Blue Ribbon Pines,Pro Majestic 2026,27,92,-5,0.667,0.556,0.37,0.593,1,0.11,0.148,Slight wind,
2026-05-27,Bryant Lake,Long to Blue,18,59,-13,0.889,0,0.778,0.889,0.8,0.333,0,Perfect,early morning
2026-05-28,Bethel,Main,18,58,-10,0.833,0,0.556,0.833,0.857,0.333,0,Slight wind,
